Name,Address,Longitude,Latitude
Warehouse 1,"100 Main St, City A",30.5001,50.4501
Warehouse 2,"200 Oak Ave, City B",30.5012,50.4512
Warehouse 3,"300 Pine Rd, City C",30.5023,50.4523
Warehouse 4,"400 Maple Ln, City D",30.5034,50.4534
Warehouse 5,"500 Elm St, City E",30.5045,50.4545
Warehouse 6,"600 Cedar Blvd, City F",30.5056,50.4556
Warehouse 7,"700 Birch Dr, City G",30.5067,50.4567
Warehouse 8,"800 Spruce Way, City H",30.5078,50.4578
Warehouse 9,"900 Walnut Ct, City I",30.5089,50.4589
Warehouse 10,"1000 Ash Cir, City J",30.5090,50.4590
